u_id,year,month,total_interactions,monthly_spend,avg_ticket_size
5f987c71,2026,1,1722,2744136.3600000185,1593.5751219512304
10f1bc81,2026,1,1849,2478323.920000041,1340.359069767464
01d74256,2026,1,1680,2805925.0799999866,1670.193499999992
9a1de644,2026,1,1806,3484025.5499999905,1929.1392857142805
6b65a6a4,2026,1,1344,2877408.2399999793,2140.9287499999846
b09b2a5c,2026,1,1550,2804831.9999999944,1809.5690322580608
1064005c,2026,1,2622,5391518.850000057,2056.261956521761
bf3c4c06,2026,1,1435,2963308.2099999916,2065.023142857137
beb79919,2026,1,1978,3034568.4799999814,1534.1599999999905
766ecb15,2026,1,2548,3364529.4800000275,1320.4589795918475
3da9c2a9,2026,1,1280,2497663.3599999794,1951.299499999984
8dcdcd03,2026,1,1628,2707538.6799999713,1663.1072972972797
23e2fcb4,2026,1,1452,2656319.490000002,1829.4211363636377
ddd1dfb2,2026,1,1296,1878881.760000005,1449.7544444444482
0f1259e0,2026,1,1617,3288374.8099999935,2033.6269696969657
3139d32c,2026,1,1776,2780532.6099999887,1565.615208333327
0e51f30d,2026,1,1440,2799802.240000003,1944.3071111111133
17fc695a,2026,1,1504,2127211.200000009,1414.3691489361763
24933b83,2026,1,1672,3258597.2800000226,1948.9218181818317
14296c07,2026,1,1280,1292648.000000004,1009.8812500000031
ccf3a171,2026,1,1200,2311355.6999999876,1926.1297499999896
b92da22b,2026,1,2014,4257783.090000047,2114.0928947368657
b8db0672,2026,1,1479,2193555.3899999866,1483.1341379310254
7d154385,2026,1,1638,3903412.11,2383.035476190476
5304317f,2026,1,1188,2229173.999999991,1876.4090909090835
b74d0fb1,2026,1,1440,2496678.4000000167,1733.804444444456
366eb16f,2026,1,2035,3221408.850000031,1583.001891891907
839fbc50,2026,1,1400,2271320.7999999966,1622.3719999999976
2a45c2ab,2026,1,1890,2298520.349999995,1216.1483333333306
81f76d1c,2026,1,986,1216474.599999999,1233.7470588235283
5be6128e,2026,1,1505,1826237.51999999,1213.4468571428506
405cacec,2026,1,1551,2537861.350000027,1636.27424242426
988c24c9,2026,1,1088,1828284.3799999948,1680.4084374999952
eb2263dd,2026,1,1292,1771240.4200000032,1370.9291176470613
5fb8d16c,2026,1,1840,2199691.020000027,1195.4842500000148
