u_id,year,month,total_interactions,monthly_spend,avg_ticket_size
beb79919,2026,1,221,472494.93999999965,2137.9861538461523
9a1de644,2026,1,306,669382.3099999988,2187.523888888885
b09b2a5c,2026,1,238,169499.85999999993,712.1842857142855
1064005c,2026,1,140,80222.4,573.0171428571429
766ecb15,2026,1,240,98570.40000000017,410.7100000000007
0f1259e0,2026,1,252,412471.43999999925,1636.7914285714255
8dcdcd03,2026,1,225,355733.2799999996,1581.0367999999983
23e2fcb4,2026,1,88,-61776.32000000001,-702.0036363636365
0e51f30d,2026,1,224,447314.72000000015,1996.9407142857149
3139d32c,2026,1,99,63293.31000000003,639.3263636363639
ddd1dfb2,2026,1,322,254228.20000000112,789.5285714285749
3da9c2a9,2026,1,228,46673.64000000031,204.70894736842243
17fc695a,2026,1,280,390941.600000001,1396.2200000000037
405cacec,2026,1,340,854214.2999999984,2512.3949999999954
b92da22b,2026,1,221,113001.97999999997,511.32117647058806
5be6128e,2026,1,399,796770.8699999969,1996.9194736842026
81f76d1c,2026,1,204,265256.04000000015,1300.2747058823536
eb2263dd,2026,1,266,538075.9999999999,2022.8421052631575
988c24c9,2026,1,182,229150.21999999986,1259.067142857142
5304317f,2026,1,400,470375.74999999884,1175.9393749999972
839fbc50,2026,1,130,103301.90000000004,794.6300000000003
5fb8d16c,2026,1,210,343879.30000000045,1637.5204761904783
24933b83,2026,1,486,892702.0799999983,1836.8355555555522
b8db0672,2026,1,304,272159.20000000007,895.2605263157897
2a45c2ab,2026,1,266,480467.6800000009,1806.269473684214
b74d0fb1,2026,1,294,627553.6399999998,2134.53619047619
ccf3a171,2026,1,154,386292.6100000005,2508.393571428575
14296c07,2026,1,192,343728.9599999999,1790.2549999999994
366eb16f,2026,1,399,379839.8099999997,951.9794736842098
7d154385,2026,1,299,782706.7899999999,2617.7484615384615
